127.0.0.1 - - [24/Apr/2024:10:14:35 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:35 +0800] "GET /EComtracWeb/js/jquery.browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:35 +0800] "GET /EComtracWeb/jquery/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:35 +0800] "GET /EComtracWeb/semantic/semantic.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:35 +0800] "GET /EComtracWeb/semantic/components/form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:35 +0800] "GET /EComtracWeb/jquery-ticker/js/jquery.newsTicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:35 +0800] "GET /EComtracWeb/js/d3.v3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:35 +0800] "GET /EComtracWeb/js/jquery.jfeed.pack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:35 +0800] "GET /EComtracWeb/js/uvcharts.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:36 +0800] "GET /EComtracWeb/images/ssm.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:36 +0800] "GET /EComtracWeb/images/menarassmbg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:36 +0800] "GET /EComtracWeb/images/ecom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:36 +0800] "GET /EComtracWeb/?0-IResourceListener-loginPanel-signInForm-captchaImage&antiCache=1713924935844 HTTP/1.1" 200 7931
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:36 +0800] "GET /EComtracWeb/?0-IResourceListener-bannerImage&antiCache=1713924935843 HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:36 +0800] "GET /EComtracWeb/ssm-portal-feed.xml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:36 +0800] "GET /EComtracWeb/images/cloud_two.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:36 +0800] "GET /EComtracWeb/images/cloud_one.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:36 +0800] "GET /EComtracWeb/semantic/themes/default/assets/fonts/icons.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:36 +0800] "GET /EComtracWeb/semantic/themes/default/assets/fonts/brand-icons.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:36 +0800] "GET /EComtracWeb/images/cloud_three.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:36 +0800] "GET /EComtracWeb/jquery-ticker/fonts/fontawesome-webfont.woff?v=4.0.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:43 +0800] "GET /EComtracWeb/wicket/bookmarkable/com.ssm.llp.base.page.SsmLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:43 +0800] "GET /EComtracWeb/wicket/bookmarkable/com.ssm.llp.base.page.SsmLogin?1 HTTP/1.1" 200 14057
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:43 +0800] "GET /lib/w3.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:43 +0800] "GET /EComtracWeb/wicket/page?1-IResourceListener-loginInternalPanel-signInInternalForm-captchaImage&antiCache=1713924943253 HTTP/1.1" 200 8614
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:58 +0800] "POST /EComtracWeb/wicket/page?1-1.IBehaviorListener.0-loginInternalPanel-signInInternalForm-ezbizBoLogin HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:58 +0800] "GET /EComtracWeb/wicket/page?1-IResourceListener-loginInternalPanel-signInInternalForm-captchaImage&antiCache=1713924957904 HTTP/1.1" 200 6985
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:58 +0800] "GET /EComtracWeb/images/error_icon.png HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:16:12 +0800] "GET /EComtracWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:16:12 +0800] "GET /EComtracWeb/?2 HTTP/1.1" 200 16143
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:16:12 +0800] "GET /lib/w3.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:16:12 +0800] "GET /EComtracWeb/?2-IResourceListener-bannerImage&antiCache=1713924972509 HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:16:12 +0800] "GET /EComtracWeb/?2-IResourceListener-loginPanel-signInForm-captchaImage&antiCache=1713924972510 HTTP/1.1" 200 8944
